sample_idx,original_prediction,baseline_prediction,predicted_class,r2_mean,r2_std,deletion_auc_abs,insertion_auc_abs,gap_auc_abs,deletion_auc_positive_first,insertion_auc_positive_first,gap_auc_positive_first,n_segments,n_positive_segments,error
0,0.0083332080394029,0.0084176491945981,0,-0.0185232641596502,0.0135909310041459,0.0083619622875832,0.0084563810895714,9.441880198816228e-05,0.0083619622875832,0.0084563810895714,9.441880198816228e-05,36,0,
1,0.9999997615814208,0.0084176491945981,1,-1.9652588775992637,2.2712966520892346,0.7778662552851399,0.9858288833073208,0.2079626280221808,0.5252233594498587,0.9573718007254812,0.4321484412756227,35,19,
2,0.0080961529165506,0.0084176491945981,0,0.0676789312836006,0.1042907041348467,0.0081882307616372,0.0084214473608881,0.0002332165992508,0.0081901850644499,0.0084189642220735,0.0002287791576236,36,1,
3,0.9953581690788268,0.0084176491945981,1,-1.1159441205753418,0.8931340208087748,0.7931839018128812,0.8935373696560652,0.100353467843184,0.4053384192868689,0.9650067057874469,0.5596682865005778,36,18,
4,0.0179618280380964,0.0084176491945981,0,-1.1370864102084255,1.48953630267787,0.0166558881820593,0.0264429497118625,0.0097870615298031,0.5324908460283445,0.0200941241993051,-0.5123967218290394,36,19,
5,0.0231906473636627,0.0084176491945981,0,-0.8997262899835249,0.7429746530745045,0.4885406725160363,0.2443447223761015,-0.2441959501399347,0.6452137715079718,0.0795783080488475,-0.5656354634591242,36,15,
6,0.9994326233863832,0.0084176491945981,1,-0.7724504587896366,0.4930076722584371,0.7537898137751554,0.9500563172106112,0.1962665034354558,0.419633155425989,0.9500847900182836,0.5304516345922946,36,23,
7,0.0082261366769671,0.0084176491945981,0,0.0192123241094376,0.1052710959524517,0.0083798588150077,0.0083624289578033,-1.7429857204357205e-05,0.0083756514359265,0.0083626436793969,-1.3007756529580944e-05,36,2,
8,0.0268179848790168,0.0084176491945981,0,-0.5024927294964471,0.3924990223336427,0.4203328765773524,0.7043485332590839,0.2840156566817314,0.6747583531412401,0.157770287218025,-0.5169880659232151,36,17,
9,0.9999997615814208,0.0084176491945981,1,-0.7536865885587923,0.3613700785338298,0.3877779709631189,0.9324595779180528,0.5446816069549338,0.0590883731893218,0.986165968908204,0.9270775957188824,36,19,
10,0.999998927116394,0.0084176491945981,1,-1.6244379074880484,1.2105387358701003,0.7139328981606129,0.6713907931502304,-0.0425421050103824,0.2910063681678994,0.8896586819965806,0.5986523138286812,36,16,
11,0.0117888813838362,0.0084176491945981,0,-0.4451895314720557,0.3796119785154933,0.1898680345103558,0.2073587165472822,0.0174906820369263,0.4072873697150498,0.0275924180249502,-0.3796949516900996,36,16,
12,0.9528260231018066,0.0084176491945981,1,-0.4235710326432144,0.4017507010527982,0.5957844582250497,0.9297174518679236,0.333932993642874,0.2930193552781831,0.9851354824172126,0.6921161271390295,36,14,
13,0.0093944799154996,0.0084176491945981,0,-18.57339437057269,25.87872051599685,0.0081664124445524,0.0086645230961342,0.0004981106515818,0.067638992694103,0.0087051891281993,-0.0589338035659036,36,21,
14,0.0175896752625703,0.0084176491945981,0,-0.8767314209216746,0.6088781589729308,0.0516521176602206,0.5628397098690686,0.511187592208848,0.2868112482182268,0.0463080634492346,-0.2405031847689922,36,12,
15,1.0,0.0084176491945981,1,-1.269304625414906,0.771104288591656,0.4088644237916306,0.9783344103230373,0.5694699865314066,0.5183402882552514,0.9861866881450018,0.4678463998897504,36,24,
16,0.0118497302755713,0.0084176491945981,0,-1.645570408708012,3.9237744163760087,0.0085101706338011,0.0119288171538048,0.0034186465200036,0.0321929909599324,0.0076402244158089,-0.0245527665441234,36,20,
17,0.0069445916451513,0.0084176491945981,0,-0.0572810313703855,0.4219530907644249,0.008257212738196,0.0077036312238002,-0.0005535815143957,0.0210792339251687,0.0071311844254119,-0.0139480494997567,36,18,
18,0.0182564314454793,0.0084176491945981,0,-36.671622979766624,48.26916647602665,0.0040644506805986,0.0076104995160777,0.0035460488354791,0.0159703504242416,0.0105852097409903,-0.0053851406832513,36,20,
19,1.0,0.0084176491945981,1,-0.575153558842154,0.1207445416174576,0.8458217483841711,0.9862189143896104,0.1403971660054391,0.5132572055331951,0.9862278997898102,0.4729706942566151,36,17,
20,0.9863600134849548,0.0084176491945981,1,-0.5084525875987527,0.1458149803835733,0.2407428505596303,0.5335298183684548,0.2927869678088245,0.2022808566325503,0.9551855226357778,0.7529046660032275,36,17,
21,0.9994807839393616,0.0084176491945981,1,-0.2512021723846743,0.4622848031005757,0.5498517932945917,0.94803034596973,0.3981785526751382,0.0763925952693488,0.9824608547819984,0.9060682595126496,36,19,
22,0.0248359758406877,0.0084176491945981,0,-1.002664957236722,0.6699721729863302,0.4697781784020158,0.7195815507050913,0.2498033723030755,0.620130127399332,0.3650517672825419,-0.2550783601167901,36,19,
23,0.9999997615814208,0.0084176491945981,1,-0.1498302547129824,0.1512207159025269,0.2903015823359454,0.8739126069833422,0.5836110246473967,0.1281339064449341,0.957958980748016,0.8298250743030818,36,22,
24,0.9999998807907104,0.0084176491945981,1,-0.4404619718142981,0.2658407936288409,0.5420025519108296,0.6528503588875462,0.1108478069767165,0.4112135817367805,0.9861844496594536,0.574970867922673,36,20,
25,0.0074139195494353,0.0084176491945981,0,0.1710522011601031,0.2040505103548721,0.0084985845799868,0.0076725015468481,-0.0008260830331386,0.0093567575612622,0.0070702072181221,-0.0022865503431401,36,11,
26,0.999923825263977,0.0084176491945981,1,-0.6003769639742492,0.462312579446091,0.4748409468872726,0.2982000212280411,-0.1766409256592314,0.242516014280688,0.9521162004934416,0.7096001862127537,36,17,
27,0.0724024027585983,0.0084176491945981,0,-0.3764181627075945,0.3031842002358385,0.8579651062480278,0.5424441038113501,-0.3155210024366777,0.9461941125078336,0.4993141533315719,-0.4468799591762615,36,18,
